EXER;IDENT;NDEPT;LBUDG;INSEE;CBUDG;CTYPE;CSTYP;NOMEN;siren;CREGI;CACTI;SECTEUR;FINESS;CODBUD1;CATEG;BAL;FONCTION;COMPTE;BEDEB;BECRE;OBNETDEB;OBNETCRE;ONBDEB;ONBCRE;OOBDEB;OOBCRE;SD;SC
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;6188;0,00;0,00;2260,10;0,00;0,00;0,00;0,00;0,00;2260,10;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;6225;0,00;0,00;3044,97;0,00;0,00;0,00;0,00;0,00;3044,97;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;6227;0,00;0,00;3960,00;0,00;0,00;0,00;0,00;0,00;3960,00;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;6234;0,00;0,00;3390,22;0,00;0,00;0,00;0,00;0,00;3390,22;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;6245;0,00;0,00;1001,44;0,00;0,00;0,00;0,00;0,00;1001,44;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;6251;0,00;0,00;5639,38;0,00;0,00;0,00;0,00;0,00;5639,38;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;6262;0,00;0,00;4543,26;0,00;0,00;0,00;0,00;0,00;4543,26;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;6281;0,00;0,00;1114,30;0,00;0,00;0,00;0,00;0,00;1114,30;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;6336;0,00;0,00;7199,44;0,00;0,00;0,00;0,00;0,00;7199,44;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;6338;0,00;0,00;74092,00;0,00;0,00;0,00;0,00;0,00;74092,00;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;637;0,00;0,00;3904,00;0,00;0,00;0,00;0,00;0,00;3904,00;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;64131;0,00;0,00;661120,74;0,00;0,00;0,00;0,00;0,00;661120,74;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;6451;0,00;0,00;401819,00;0,00;0,00;0,00;0,00;0,00;401819,00;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;6453;0,00;0,00;84133,81;0,00;0,00;0,00;0,00;0,00;84133,81;0,00
2018;13000008600012;086;GIPMDPH VIENNE;982;1;421;90;M52;130000086;075;06;;;;SYND;DEF;52;6458;0,00;0,00;10578,53;0,00;0,00;0,00;0,00;0,00;10578,53;0,00
